Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"Al enviar un EDR, aparece un mensaje de error y una pantalla indicando problemas de conexión o un correo mal capturado.","Si al enviar el EDR aparece un error por conexión o correo, valida que el correo del cliente esté correctamente escrito y sin espacios. Una dirección mal capturada puede impedir el envío; corrígela y reintenta.",Soporte,VALIDAR MAIL,solucion
"Clientes de Movistar no reciben mensajes de Actividad PRO ni autenticación INE, y la alternativa de Telcel no es viable para todos.",No se identifican problemas con la recepción de SMS de Actividad PRO del lado del sistema; el problema podría ser de la compañía celular. Se recuerda la opción de envío vía Email para Actividad PRO.,Soporte,TOKEN VÍA EMAIL,solucion
"El EDR no se envía al cliente, aunque la aplicación indique que sí se envió, con hora de envío 00:00.","Valida que el correo de destino esté correctamente capturado y sin espacios, y reintenta el envío con una conexión estable. Valida la bandeja de spam y correo no deseado del cliente.",Soporte,ASESOR,solucion
"El SBC convierte automáticamente el monto a Euros, impidiendo la generación de EDR.","Se sospecha que una VPN activa o la configuración de región del dispositivo está causando que las cantidades se reconozcan en moneda extranjera. Se recomienda probar con otro dispositivo, validar que no cuente con una VPN activada.",Soporte,VPN,solucion
El asesor no puede capturar el arrastre de lápiz en Power Apps.,Se sugiere validar en no deseados u otras carpetas y revisar la red del cliente.,Soporte,VALIDAR SPAM,solucion
"El asesor no puede realizar el envío de un estudio para retiro, se requiere asistencia para completar la operación.","Para poder apoyarte con el envío del estudio de retiro, compártenos el mensaje de error que se muestra en pantalla y el momento exacto en el que se presenta. Con esta información podremos orientarte con acciones específicas.",Soporte,ASESOR,asesor
El cliente no puede generar el EDR porque el sistema indica que ya es cliente Profuturo.,"Si el sistema identifica al cliente como Profuturo, el EDR debe integrarse desde el módulo de Clientes. Recordemos que el deber ser es realizar la captura en actividad PRO antes de realizar el tramite.",Soporte,ASESOR,asesor
"El cliente no recibe el correo con la liga de Landing page porque la cita fue agendada bajo el tipo de servicio 'Produce Registro', el cual no genera este enlace.",Es necesario validar que el origen de la cita sea el adecuado (Asesoría Digital Registro / traspaso). El tipo de cita 'Produce Registro / traspaso) nunca envía ni genera el Landing.,Soporte,VALIDAR ORIGEN,solucion
El cliente no recibe el folio de EDR ni por mensaje ni por correo después de registrarse en Pruduce.,validar bandeja de spam y correo no deseado,Soporte,VALIDAR SPAM,solucion
"El estado de una confirmación de EDR en Actividad Pro muestra 'CONSULTADO' y no el círculo pintado, a pesar de recibir la confirmación por correo.",Se solicita compartir una pantalla donde el asesor recibe la confirmacion de estudio entregado al cliente,Soporte,ASESOR,asesor
"El sistema indica que una CURP ya es cliente al intentar enviar un EDR, justo después de realizar un traspaso, impidiendo la finalización del proceso.","El mensaje de cliente no es un error sino una regla que indica la existencia de una cuenta individual certificada. Para proceder, se debe realizar el EDR desde el módulo 'Clientes' y notificar vía correo a estadística, con copia al correo de soporte powerapps",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
El sistema no permite el envío del EDR.,"Si el sistema no permite el envío del EDR, valida que el correo electrónico esté correctamente escrito y sin espacios, y que cuentes con una conexión a internet estable antes de reintentar el envío.",Soporte,POSIBLE INTERMITENCIA,solucion
El sistema no permite generar EDR.,"Si el sistema no permite generar el EDR, valida que el dispositivo cuente con una conexión a internet estable y buena señal antes de reintentar el envío.",Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
"El sistema no permite realizar el EDR indicando que el cliente está en Profuturo cuando en realidad está en Banorte, solicitan apoyo para quitar la CURP y poder avanzar.",Favor de compartir la CURP del cliente para validar en nuestras bases si en efecto ya es cliente.,Soporte,ASESOR,asesor
El usuario está intentando mandar EDR y el sistema marca error.,Validar que el correo electrónico se encuentre correcto y no contenga ningún espacio.,Soporte,VALIDAR MAIL,solucion
El usuario no puede avanzar en un trámite por tercera vez.,Validar la red del dispositivo.,Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario no puede enviar EDR.,Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El usuario no puede enviar EDR.,Verifica que el correo de destino esté correctamente escrito y que cuentes con una conexión a internet estable,Soporte,VALIDAR MAIL,solucion
El usuario no puede enviar EDR.,"Si no puedes enviar el EDR, valida que el correo del cliente esté correctamente capturado y sin errores, así como que cuentes con una conexión a internet estable. Una falla en la red o un correo mal escrito puede impedir el envío.",Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario no puede enviar un EDR a través de Actividad Pro debido a un error.,Validar que la dirección de correo electrónico no contenga espacios y esté correctamente escrita,Soporte,VALIDAR MAIL,solucion
El usuario no puede enviar un EDR porque el archivo aparece dañado.,"validar que el correo no cuente con un carácter invalido, enemplo que diga "".con"" en lugar de "".com""",Soporte,VALIDAR MAIL,solucion
"El usuario no puede enviar un estudio de retiro, recibiendo un mensaje de error a pesar de haber verificado la información del correo.","validar que el correo del cliente no cuente con un dato erróneo, ejemplo que cuente con un sepacio al principio o fin del correo",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario no puede generar el 'Estudio'.,"Es necesario que compartas detalle del inconveniente (mensaje de error, paso donde se presenta). Con esta información se podrá canalizar el caso para atención especializada.",Soporte,POSIBLE INTERMITENCIA,asesor
El usuario no puede generar el EDR.,"Si no puedes realizar el EDR, valida que cuentes con una conexión a internet estable y que el correo del cliente esté correctamente capturado y sin espacios. Una vez revisado, reintenta el proceso.",Soporte,ASESOR,solucion
El usuario no puede realizar el EDR (se desconoce el motivo exacto).,"Validar que el correo esté correctamente capturado y sin espacios, además de validar que la conexión de red sea estable.",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario no recibe el correo de confirmación de EDR enviado a su asesora.,Valida la bandeja de spam y correo no deseado.,Soporte,ASESOR,solucion
"El usuario no recibe la opción 'DAR CLICK AQUI' al enviar una landing, a pesar de que la configuración del apartado de cita es correcta.","Si no se muestra la opción ‘DAR CLICK AQUÍ’ al enviar la landing, verifica y ajusta el origen de la cita para que corresponda al tipo de gestión. Una vez actualizado, realiza de nuevo el envío.",Soporte,ASESOR,asesor
El usuario pregunta sobre la obligatoriedad de la landing para trámites de autoservicio y la información necesaria para trámites por produce.,"La landing es obligatoria para trámites de autoservicio. Para trámites por produce o presencial, no es necesaria la landing, pero sí es obligatorio capturar el número de empleado del analista en el EDR.",Soporte,OTRO,solucion
El usuario reporta errores al generar un estudio de retiro patronal.,"Te sugerimos validar que cuentes con una conexión estable, cerrar sesión, ingresar nuevamente y reintentar la generación del estudio",Soporte,VERIFICAR INTENSIDAD DE LA RED,solucion
El usuario reporta que no puede enviar el EDR y pregunta si hay alguna intermitencia.,"Si no puedes enviar el EDR, valida que cuentes con una conexión a internet estable (celular o corporativa) y que el correo electrónico esté correctamente capturado y sin errores. Una falla en la red o un dato incorrecto puede impedir el envío.",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario reporta un problema de autenticación en el sistema.,"Si presentas un problema de autenticación, valida que cuentes con una conexión a internet estable y vuelve a intentar el proceso.",Soporte,ASESOR,solucion
El usuario tiene problemas para cerrar autoregistros del día en Actividad Pro.,"Se solicita intentar nuevamente el envío del EDR, verificar las bandejas de spam y correo no deseado, mientras el soporte valida posibles intermitencias en el servicio de correo.",Soporte,VALIDAR SPAM,solucion
La asesora 165150 no tiene acceso a la aplicación Actividad Pro.,Se debe mandar un ticket a la OAU solicitando el alta para que puedan brindar el acceso a la herramienta.,Soporte,TICKET OAU,solucion
"La asesora no recibe el EDR por correo electrónico, a pesar de haberlo reenviado varias veces y revisar la bandeja de spam.",validar bandeja de spam y correo no deseado,Soporte,VALIDAR SPAM,solucion
Los clientes no están recibiendo los EDRs correctamente.,Verificar la carpeta de correo no deseado o spam y confirmar que la dirección de correo del cliente sea correcta.,Soporte,POSIBLE INTERMITENCIA,solucion
Los correos con los EDR no están llegando.,validar bandeja de spam y correo no deseado,Soporte,VALIDAR SPAM,solucion
Los usuarios experimentaron problemas para enviar estudios de retiro (EDR) debido a una posible intermitencia del sistema.,"Si presentas dificultades para enviar el EDR, puede estar relacionado con la calidad de tu conexión o la ubicación desde donde te encuentras. Te sugerimos validar que cuentes con una red estable, cerrar sesión, ingresar nuevamente y reintentar el envío.",Soporte,POSIBLE INTERMITENCIA,solucion
Los usuarios no están recibiendo los SMS ni los correos de EDR.,"Si no se reciben los SMS o correos de EDR, recuerda que el envío por correo electrónico suele llegar en segundos. Valida que se esté utilizando correctamente este canal y que el correo esté bien capturado.",Soporte,POSIBLE INTERMITENCIA,solucion
Los usuarios no pueden enviar EDR ni autenticarse en el sistema.,valida que cuentes con una conexión estable (evita datos móviles si es posible). Compártenos el mensaje de error exacto que aparece al intentar ingresar para poder orientarte con acciones específicas,Soporte,POSIBLE INTERMITENCIA,solucion
No nos permite entrar para hacer EDR nos puedes apoyar a revisar la intermitencia de favor.,"Para poder orientarte mejor, valida si el inconveniente ocurre al ingresar a Actividad Pro o una vez dentro, al intentar realizar el EDR. Según el punto donde se presenta, puede tratarse de un tema de acceso o del flujo del trámite. Adicionalmente, confirma que cuentes con una conexión a internet estable antes de reintentar.",Soporte,POSIBLE INTERMITENCIA,solucion
No permite enviar EDR.,"Validar que el correo electrónico no cuente con datos erróneos (doble punto, .CON en lugar de .COM, espacios al final) y verificar la red del dispositivo.",Soporte,VALIDAR MAIL,solucion
No se puede agregar un cliente para enviar el EDR porque el sistema lo marca como cliente Profuturo.,"Si el sistema identifica al cliente como Profuturo, el EDR debe gestionarse desde el módulo de Clientes y no como nuevo registro. Valida el caso en dicho módulo para continuar con el trámite.

Recordemos que el deber ser es capturar primero en Actividad PRO antes de realizar el tramite",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
No se puede modificar un apovol en Actividad Pro.,comparte mas detalle del tema antes de compartir el caso.,Soporte,ASESOR,asesor
No se puede realizar el EDR para un cliente Profuturo asignado valioso porque el sistema lo identifica como cliente Profuturo.,"Si el sistema identifica al cliente como Profuturo, el EDR debe integrarse desde el módulo de Clientes. Una vez localizado el caso, notifícalo al área de estadistica para su validación y seguimiento",Soporte,OTRO,solucion
"No se puede registrar un prospecto en Actividad Pro después de eliminar un rechazo, mostrando un mensaje de error.","El folio llegó más tarde, solucionando el problema.",Soporte,TIEMPO DE ESPERA,solucion
"No se pueden enviar correos desde el viernes, posiblemente debido a un error en la red del dispositivo o en la dirección de correo electrónico del cliente.","Validar que el correo no tenga errores de escritura, dobles puntos o espacios al inicio/final.",Soporte,POSIBLE INTERMITENCIA,solucion
Pueden continuar con los trámites y después hacer el EDR y también enviar el Landing?,No aplica,Soporte,ASESOR,asesor
"Se enviaron tardíamente 3 trámites nocturnos por no poder enviar el EDR, ¿hay problema de pago?",Se recomienda compartir el caso con el equipo de Estadistica ya que ellos son los encargados del esquema de pagos,Soporte,OTRO,solucion
"Se está experimentando un problema al enviar EDR y tokens, tardan en llegar y el cliente no recibe el estudio.",los retrasos parecen estar relacionados con los proveedores de telefonía (Telcel y AT&T). Recordemos que se puede enviar el token via correo electronico,Soporte,POSIBLE INTERMITENCIA,solucion
Se recibe un error al intentar enviar el EDR.,Compártenos el detalle para poder orientarte con acciones específicas antes de escalar el caso.,Soporte,ASESOR,asesor
"Si se realiza el trámite antes del EDR, ¿el sistema marcará al cliente como existente impidiendo el registro?",Registrarlo en el Módulo de Clientes y desde ahí enviarle el EDR.,Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
"Solo para confirmar si desde el módulo de clientes nos permite también la captura del número del analista de calidad o si se toma ese dato por la intermitencia del EDR, ya que algunas cuentas de analistas que se ingresaron y está pendiente el EDR","Sí, desde el módulo de Clientes se cuenta con el campo para capturar el número de empleado del analista de calidad. Ese dato puede registrarse directamente ahí, independientemente de que el EDR esté pendiente.",Soporte,POSIBLE INTERMITENCIA,solucion
"Un asesor recién acreditado puede ingresar a Traspasos Pro, pero no a Actividad Pro.",Se debe mandar un ticket a la OAU solicitando el alta para que puedan brindar el acceso a la herramienta.,Soporte,TICKET OAU,solucion
"me comentó mi asesora que no le están llegando los edr a su cliente y como prueba ella le envió correos y si le
Llegaron hay alguna intermitencia?","Dado que el correo funciona correctamente y el EDR no está llegando, apóyanos compartiendo el correo destino, la fecha y hora de envío del EDR y, de ser posible, una evidencia del intento de envío. Con esta información el caso podrá canalizarse para su revisión.",Soporte,POSIBLE INTERMITENCIA,asesor
